"Province.State","Country.Region","Date","ConfirmedCases"
"American Samoa","US",2020-01-22,0
"Guam","US",2020-01-22,0
"Northern Mariana Islands","US",2020-01-22,0
"Puerto Rico","US",2020-01-22,0
"Virgin Islands","US",2020-01-22,0
"Alabama","US",2020-01-22,0
"Alaska","US",2020-01-22,0
"Arizona","US",2020-01-22,0
"Arkansas","US",2020-01-22,0
"California","US",2020-01-22,0
"Colorado","US",2020-01-22,0
"Connecticut","US",2020-01-22,0
"Delaware","US",2020-01-22,0
"District of Columbia","US",2020-01-22,0
"Florida","US",2020-01-22,0
"Georgia","US",2020-01-22,0
"Hawaii","US",2020-01-22,0
"Idaho","US",2020-01-22,0
"Illinois","US",2020-01-22,0
"Indiana","US",2020-01-22,0
"Iowa","US",2020-01-22,0
"Kansas","US",2020-01-22,0
"Kentucky","US",2020-01-22,0
"Louisiana","US",2020-01-22,0
"Maine","US",2020-01-22,0
"Maryland","US",2020-01-22,0
"Massachusetts","US",2020-01-22,0
"Michigan","US",2020-01-22,0
"Minnesota","US",2020-01-22,0
"Mississippi","US",2020-01-22,0
"Missouri","US",2020-01-22,0
"Montana","US",2020-01-22,0
"Nebraska","US",2020-01-22,0
"Nevada","US",2020-01-22,0
"New Hampshire","US",2020-01-22,0
"New Jersey","US",2020-01-22,0
"New Mexico","US",2020-01-22,0
"New York","US",2020-01-22,0
"North Carolina","US",2020-01-22,0
"North Dakota","US",2020-01-22,0
"Ohio","US",2020-01-22,0
"Oklahoma","US",2020-01-22,0
"Oregon","US",2020-01-22,0
"Pennsylvania","US",2020-01-22,0
"Rhode Island","US",2020-01-22,0
"South Carolina","US",2020-01-22,0
"South Dakota","US",2020-01-22,0
"Tennessee","US",2020-01-22,0
"Texas","US",2020-01-22,0
"Utah","US",2020-01-22,0
"Vermont","US",2020-01-22,0
"Virginia","US",2020-01-22,0
"Washington","US",2020-01-22,1
"West Virginia","US",2020-01-22,0
"Wisconsin","US",2020-01-22,0
"Wyoming","US",2020-01-22,0
"Diamond Princess","US",2020-01-22,0
"Grand Princess","US",2020-01-22,0
"American Samoa","US",2020-01-23,0
"Guam","US",2020-01-23,0
"Northern Mariana Islands","US",2020-01-23,0
"Puerto Rico","US",2020-01-23,0
"Virgin Islands","US",2020-01-23,0
"Alabama","US",2020-01-23,0
"Alaska","US",2020-01-23,0
"Arizona","US",2020-01-23,0
"Arkansas","US",2020-01-23,0
"California","US",2020-01-23,0
"Colorado","US",2020-01-23,0
"Connecticut","US",2020-01-23,0
"Delaware","US",2020-01-23,0
"District of Columbia","US",2020-01-23,0
"Florida","US",2020-01-23,0
"Georgia","US",2020-01-23,0
"Hawaii","US",2020-01-23,0
"Idaho","US",2020-01-23,0
"Illinois","US",2020-01-23,0
"Indiana","US",2020-01-23,0
"Iowa","US",2020-01-23,0
"Kansas","US",2020-01-23,0
"Kentucky","US",2020-01-23,0
"Louisiana","US",2020-01-23,0
"Maine","US",2020-01-23,0
"Maryland","US",2020-01-23,0
"Massachusetts","US",2020-01-23,0
"Michigan","US",2020-01-23,0
"Minnesota","US",2020-01-23,0
"Mississippi","US",2020-01-23,0
"Missouri","US",2020-01-23,0
"Montana","US",2020-01-23,0
"Nebraska","US",2020-01-23,0
"Nevada","US",2020-01-23,0
"New Hampshire","US",2020-01-23,0
"New Jersey","US",2020-01-23,0
"New Mexico","US",2020-01-23,0
"New York","US",2020-01-23,0
"North Carolina","US",2020-01-23,0
"North Dakota","US",2020-01-23,0
"Ohio","US",2020-01-23,0
"Oklahoma","US",2020-01-23,0
"Oregon","US",2020-01-23,0
"Pennsylvania","US",2020-01-23,0
"Rhode Island","US",2020-01-23,0
"South Carolina","US",2020-01-23,0
"South Dakota","US",2020-01-23,0
"Tennessee","US",2020-01-23,0
"Texas","US",2020-01-23,0
"Utah","US",2020-01-23,0
"Vermont","US",2020-01-23,0
"Virginia","US",2020-01-23,0
"Washington","US",2020-01-23,1
"West Virginia","US",2020-01-23,0
"Wisconsin","US",2020-01-23,0
"Wyoming","US",2020-01-23,0
"Diamond Princess","US",2020-01-23,0
"Grand Princess","US",2020-01-23,0
"American Samoa","US",2020-01-24,0
"Guam","US",2020-01-24,0
"Northern Mariana Islands","US",2020-01-24,0
"Puerto Rico","US",2020-01-24,0
"Virgin Islands","US",2020-01-24,0
"Alabama","US",2020-01-24,0
"Alaska","US",2020-01-24,0
"Arizona","US",2020-01-24,0
"Arkansas","US",2020-01-24,0
"California","US",2020-01-24,0
"Colorado","US",2020-01-24,0
"Connecticut","US",2020-01-24,0
"Delaware","US",2020-01-24,0
"District of Columbia","US",2020-01-24,0
"Florida","US",2020-01-24,0
"Georgia","US",2020-01-24,0
"Hawaii","US",2020-01-24,0
"Idaho","US",2020-01-24,0
"Illinois","US",2020-01-24,1
"Indiana","US",2020-01-24,0
"Iowa","US",2020-01-24,0
"Kansas","US",2020-01-24,0
"Kentucky","US",2020-01-24,0
"Louisiana","US",2020-01-24,0
"Maine","US",2020-01-24,0
"Maryland","US",2020-01-24,0
"Massachusetts","US",2020-01-24,0
"Michigan","US",2020-01-24,0
"Minnesota","US",2020-01-24,0
"Mississippi","US",2020-01-24,0
"Missouri","US",2020-01-24,0
"Montana","US",2020-01-24,0
"Nebraska","US",2020-01-24,0
"Nevada","US",2020-01-24,0
"New Hampshire","US",2020-01-24,0
"New Jersey","US",2020-01-24,0
"New Mexico","US",2020-01-24,0
"New York","US",2020-01-24,0
"North Carolina","US",2020-01-24,0
"North Dakota","US",2020-01-24,0
"Ohio","US",2020-01-24,0
"Oklahoma","US",2020-01-24,0
"Oregon","US",2020-01-24,0
"Pennsylvania","US",2020-01-24,0
"Rhode Island","US",2020-01-24,0
"South Carolina","US",2020-01-24,0
"South Dakota","US",2020-01-24,0
"Tennessee","US",2020-01-24,0
"Texas","US",2020-01-24,0
"Utah","US",2020-01-24,0
"Vermont","US",2020-01-24,0
"Virginia","US",2020-01-24,0
"Washington","US",2020-01-24,1
"West Virginia","US",2020-01-24,0
"Wisconsin","US",2020-01-24,0
"Wyoming","US",2020-01-24,0
"Diamond Princess","US",2020-01-24,0
"Grand Princess","US",2020-01-24,0
"American Samoa","US",2020-01-25,0
"Guam","US",2020-01-25,0
"Northern Mariana Islands","US",2020-01-25,0
"Puerto Rico","US",2020-01-25,0
"Virgin Islands","US",2020-01-25,0
"Alabama","US",2020-01-25,0
"Alaska","US",2020-01-25,0
